LGA-1151-2,,,,
Pin,Unit,Type,Name,Side
K36,PWR,PWR,VCCGT,LEFT
K38,PWR,PWR,VCCGT,LEFT
K40,PWR,PWR,VCCGT,LEFT
L34,PWR,PWR,VCCGT,LEFT
L35,PWR,PWR,VCCGT,LEFT
L36,PWR,PWR,VCCGT,LEFT
L37,PWR,PWR,VCCGT,LEFT
L38,PWR,PWR,VCCGT,LEFT
L39,PWR,PWR,VCCGT,LEFT
L40,PWR,PWR,VCCGT,LEFT
M33,PWR,PWR,VCCGT,LEFT
M34,PWR,PWR,VCCGT,LEFT
M36,PWR,PWR,VCCGT,LEFT
M38,PWR,PWR,VCCGT,LEFT
M40,PWR,PWR,VCCGT,LEFT
N34,PWR,PWR,VCCGT,LEFT
N35,PWR,PWR,VCCGT,LEFT
N36,PWR,PWR,VCCGT,LEFT
N37,PWR,PWR,VCCGT,LEFT
N38,PWR,PWR,VCCGT,LEFT
N39,PWR,PWR,VCCGT,LEFT
N40,PWR,PWR,VCCGT,LEFT
P33,PWR,PWR,VCCGT,LEFT
P34,PWR,PWR,VCCGT,LEFT
P36,PWR,PWR,VCCGT,LEFT
P38,PWR,PWR,VCCGT,LEFT
P40,PWR,PWR,VCCGT,LEFT
R34,PWR,PWR,VCCGT,LEFT
R35,PWR,PWR,VCCGT,LEFT
R36,PWR,PWR,VCCGT,LEFT
R37,PWR,PWR,VCCGT,LEFT
R38,PWR,PWR,VCCGT,LEFT
R39,PWR,PWR,VCCGT,LEFT
R40,PWR,PWR,VCCGT,LEFT
T33,PWR,PWR,VCCGT,LEFT
T34,PWR,PWR,VCCGT,LEFT
T36,PWR,PWR,VCCGT,LEFT
T38,PWR,PWR,VCCGT,LEFT
T40,PWR,PWR,VCCGT,LEFT
U34,PWR,PWR,VCCGT,LEFT
U35,PWR,PWR,VCCGT,LEFT
U36,PWR,PWR,VCCGT,LEFT
U37,PWR,PWR,VCCGT,LEFT
U38,PWR,PWR,VCCGT,LEFT
U39,PWR,PWR,VCCGT,LEFT
U40,PWR,PWR,VCCGT,LEFT
V33,PWR,PWR,VCCGT,LEFT
V34,PWR,PWR,VCCGT,LEFT
V36,PWR,PWR,VCCGT,LEFT
V38,PWR,PWR,VCCGT,LEFT
V40,PWR,PWR,VCCGT,LEFT
W34,PWR,PWR,VCCGT,LEFT
W35,PWR,PWR,VCCGT,LEFT
W36,PWR,PWR,VCCGT,LEFT
W37,PWR,PWR,VCCGT,LEFT
W38,PWR,PWR,VCCGT,LEFT
Y33,PWR,PWR,VCCGT,LEFT
Y34,PWR,PWR,VCCGT,LEFT
Y36,PWR,PWR,VCCGT,LEFT
Y38,PWR,PWR,VCCGT,LEFT
F39,PWR,PWR,VCCGT_SENSE,LEFT
AJ23,PWR,PWR,VCCIO,LEFT
AK11,PWR,PWR,VCCIO,LEFT
AK14,PWR,PWR,VCCIO,LEFT
AK24,PWR,PWR,VCCIO,LEFT
M8,PWR,PWR,VCCIO,LEFT
P8,PWR,PWR,VCCIO,LEFT
T8,PWR,PWR,VCCIO,LEFT
U8,PWR,PWR,VCCIO,LEFT
W8,PWR,PWR,VCCIO,LEFT
AF4,PWR,PWR,VCCIO_SENSE,LEFT
AA6,PWR,PWR,VCCSA,LEFT
AA7,PWR,PWR,VCCSA,LEFT
AB6,PWR,PWR,VCCSA,LEFT
AB7,PWR,PWR,VCCSA,LEFT
AB8,PWR,PWR,VCCSA,LEFT
AC7,PWR,PWR,VCCSA,LEFT
AC8,PWR,PWR,VCCSA,LEFT
N7,PWR,PWR,VCCSA,LEFT
P7,PWR,PWR,VCCSA,LEFT
R7,PWR,PWR,VCCSA,LEFT
T7,PWR,PWR,VCCSA,LEFT
U7,PWR,PWR,VCCSA,LEFT
V7,PWR,PWR,VCCSA,LEFT
W7,PWR,PWR,VCCSA,LEFT
Y6,PWR,PWR,VCCSA,LEFT
Y7,PWR,PWR,VCCSA,LEFT
Y8,PWR,PWR,VCCSA,LEFT
AD5,PWR,PWR,VCCSA_SENSE,LEFT
V4,PWR,PWR,VCCPLL,LEFT
AJ9,PWR,PWR,VCCPLL_OC,LEFT
V5,PWR,PWR,VCCST,LEFT
U2,PWR,INPUT,VCCST_PWRGD,LEFT
E39,PWR,INPUT,VIDALERT#,LEFT
E38,PWR,OUTPUT,VIDSCK,LEFT
E40,PWR,I/O,VIDSOUT,LEFT
A11,PWR,PWR,VSS,RIGHT
A13,PWR,PWR,VSS,RIGHT
A15,PWR,PWR,VSS,RIGHT
A17,PWR,PWR,VSS,RIGHT
A24,PWR,PWR,VSS,RIGHT
A7,PWR,PWR,VSS,RIGHT
AA3,PWR,PWR,VSS,RIGHT
